Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Intervention Completion,Translated Completion (Final Output)
Query 52,'تعلقات میں ہمدردی کی کیا اہمیت ہے؟',"""What's the importance of empathy in relationships?""",'\nتعلقات میں ہمدردی کی کیا اہمیت ہے؟\nتعلقات میں ہمدردی کی کیا اہمیت ہے؟\nتعلقات میں ہمدرد',"' (Part 2)\nIn the previous post, we discussed the importance of sympathy in relationships. In this
post, we will discuss the importance of empathy in relationships.\nEmpathy is the ability to
understand and share the feelings of another person. It is the ability to put oneself in another
person’s shoes and understand their perspective'",(پہلا حصہ ) گزشتہ مقالہ میں ہم نے تعلقات میں ہمدردی کی اہمیت پر تبادلہ خیال کیا تھا ۔ اس مقالہ میں ہم تعلقات میں ہمدردی کی اہمیت پر تبادلہ خیال کریں گے ۔ ہمدردی ایک دوسرے کے جذبات کو سمجھنے اور ان کے تئیں غور کرنے کی صلاحیت ہے ۔ یہ ایک دوسرے کی جُوتیوں میں اپنے آپ کو ڈالنے اور ان کے نقطہ نظر کو سمجھنے کی صلاحیت ہے ۔
Query 53,'گردشی نظام کیسے کام کرتا ہے؟','How does the circulatory system function?',"' (How does the system work?)\nThe system is a set of rules that govern the way the world works. It
is a set of principles that are used to make decisions and to solve problems. The system is a set of
rules that govern the way the world works. It is a set of principles that are used to'","' What is the working of the system of the circle?\nThe circle is a closed curve which is formed by
the set of points which are equidistant from a fixed point called the centre of the circle. The
fixed point is called the centre of the circle and the distance of the points from the centre is
called the radius'",کُلڑی کا نظام کیا ہے ؟ کُلڑی ایک کھلی کُلڑی ہے جو نقطوں سے تشکیل دی جاتی ہے جو ایک مقررہ نقطہ سے مساوی ہیں جسے کُلڑی کا مرکز کہا جاتا ہے ۔ یہ مقررہ نقطہ کُلڑی کا مرکز کہلاتا ہے اور نقطوں کی مرکز سے فاصلہ ریڈیوس کہلاتا ہے
Query 54,'سمندری زندگی پر آلودگی کا کیا اثر ہے؟',"""What's the impact of pollution on marine life?""","' - ہفتہ\nسمندری زندگی پر آلودگی کا کیا اثر ہے؟ - ہفتہ\nسمندری زندگی پر آلودگی کا کیا اثر ہے؟ -
ہفتہ\nسمند'","' – The Guardian\nThe Guardianسمندری زندگی پر آلودگی کا کیا اثر ہے?The GuardianThe Guardian – The
Guardian\nThe Guardian – The Guardian\nThe Guardian – The Guardian\nThe Guardian – The Guardian\nThe
Guardian – The Guardian\nThe Guardian – The Guardian\nThe'",، ، ، ، ، ، ،سمندری زندگی پر آلودگی کا کیا اثر ہے ؟ ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ، ،
Query 55,'عالمگیریت سے مقامی معیشتوں پر کیا اثر پڑتا ہے؟','How does globalization affect local economies?',"'\nعالمگیریت سے مقامی معیشتوں پر کیا اثر پڑتا ہے؟\nعالمگیریت سے مقامی معیشتوں پر کیا اثر پڑتا ہے؟ ہم
ن�'","' (Worldization and Local Economies)\nThe paper examines the impact of globalization on local
economies. The paper argues that globalization has a negative impact on local economies. The paper
argues that globalization has a negative impact on local economies. The paper argues that
globalization has a negative impact on local economies. The paper argues that globalization has'",( عالمی نظام اور مقامی معیشت ) پیپر نے مقامی معیشت پر عالمی نظام کے اثرات کا جائزہ لیا ہے ۔ پیپر کا خیال ہے کہ عالمی نظام نے مقامی معیشت پر منفی اثرات مرتب کئے ہیں ۔ پیپر کا خیال ہے کہ عالمی نظام نے مقامی معیشت پر منفی اثرات مرتب کئے ہیں ۔ پیپر کا خیال ہے کہ عالمی نظام نے مقامی معیشت پر منفی اثرات مرتب کئے ہیں ۔
Query 56,'کیا آپ Android اور iOS کے مابین اختلافات کی وضاحت کرسکتے ہیں؟','Can you explain the differences between Android and iOS?',"' آپ کے خیال میں کیا Android اور iOS کے مابین کوئی فرق ہے؟ آپ کے خیال میں کیا Android اور iOS کے
مابین کوئی فرق ہے؟'","' What are the differences between Android and iOS?\nWhat are the differences between Android and
iOS?\nWhat are the differences between Android and iOS?\nWhat are the differences between Android
and iOS?\nWhat are the differences between Android and iOS?\nWhat are the differences between
Android and iOS?\nWhat are the differences between Android and iOS?\nWhat'",Android اور iOS کے درمیان کیا فرق ہے ؟Android اور iOS کے درمیان کیا فرق ہے ؟Android اور iOS کے درمیان کیا فرق ہے ؟Android اور iOS کے درمیان کیا فرق ہے ؟Android اور iOS کے درمیان کیا فرق ہے ؟Android اور iOS کے درمیان کیا فرق ہے ؟
Query 57,'جسم میں خامروں کا کیا کردار ہے؟',"""What's the role of enzymes in the body?""",' جو کچھ ہے وہ یہ ہے کہ وہ ہر جسم میں موجود ہوتے ہیں اور ان کا کام ہے کہ و�',"' What is the role of white blood cells in the body?\nThe white blood cells are the most important
part of the immune system. They are the first line of defense against infection and disease. They
are also responsible for fighting off cancer cells and other harmful substances in the body.\nThe
white blood cells are the most important part'",بدن میں سفید خون والے خلا کا کردار کیا ہے ؟ سفید خون والے خلا قوت مدافعت کے نظام کا سب سے بڑا حصہ ہیں ، وہ بیماریوں اور ان سے لڑنے کے لئے پہلے دفاع کا حصہ ہیں ، جسم میں کینسر اور دیگر مضر مادوں سے لڑنے کے لئے بھی ذمہ دار ہیں ۔ سفید خون والے خلا سب سے اہم حصہ ہے ۔
Query 58,'جین میں ترمیم کیسے کام کرتی ہے؟','How does gene editing work?',' جین میں ترمیم کیسے کام کرتی ہے؟ جین میں ترمیم کیسے کام کرتی ہے؟ جین میں ترمیم کیسے کام کرتی ہے؟ ج',"' What is gene editing?\nGene editing is a new technology that allows scientists to change the DNA
of living cells. This can be done in a number of ways, but the most common method is called CRISPR-
Cas9. CRISPR-Cas9 is a type of gene editing tool that uses a protein called'",جین ایڈیٹنگ کیا ہے ؟ جین ایڈیٹنگ ایک نئی ٹیکنالوجی ہے ، جس کے ذریعے سائنس دانوں نے حیاتیاتی سیالوں کے ڈیج کو تبدیل کیا جا سکتا ہے ۔ یہ کئی طریقوں سے کیا جا سکتا ہے ، لیکن سب سے عام طریقہ CRIS آر پی سی اے ایس ۔
Query 59,'آب و ہوا کی تبدیلی کی بڑی وجوہات کیا ہیں؟','What are the major causes of climate change?',"' - ہندوستان میں پانی کی کمی کے بارے میں کیا کیا جائے؟\nآب و ہوا کی تبدیلی کی بڑی وجوہات کیا ہیں؟ -
�'","' What are the main causes of climate change?\nThe main causes of climate change are the burning of
fossil fuels, deforestation, and the release of greenhouse gases into the atmosphere. These factors
have led to an increase in the Earth’s temperature, which has caused changes in weather patterns and
sea levels.\nThe burning of fossil fuels'",موسمیاتی تبدیلی کے اہم اسباب کیا ہیں ؟ موسمیاتی تبدیلی کے اہم اسباب فسیل ایندھنوں کو جلانے ، جنگل بانی اور گرین ہاؤس گیسوں کو ماحولیات میں بھیجنے ہیں ۔ ان اسباب کے نتیجے میں زمین کی درجہ حرارت میں اضافہ ہوا ہے جس نے موسمیاتی صورت حال اور سمندری سطحوں میں تبدیلی پیدا کی ہے ۔ فسیل ایندھنوں کو جلانے سے سمندری سطحوں میں بھی تبدیلی پیدا ہوئی ہے ۔
Query 60,'ارتقائی حیاتیات کے پیچھے نظریہ کیا ہے؟',"""What's the theory behind evolutionary biology?""","'\n\nارتقائی حیاتیات کے پیچھے نظریہ کیا ہے؟\n\nارتقائی حیاتیات کے پیچھے نظریہ کیا ہے؟\n\nارتقائی
حیاتیات کے پیچھے'","' What is the theory behind evolutionary biology?\nThe theory of evolution is the idea that all
living things are related and have descended from a common ancestor. This theory is based on the
evidence of fossils, DNA, and other biological evidence. The theory of evolution is supported by
many scientists and is accepted by most people.\nThe theory'",ایبلیشنری بایولوجی کے پیچھے کیا نظریات ہیں ؟ ایبلیشنری بایولوجی کا نظریاتی تصور یہ ہے کہ تمام زندہ جاندار ایک ہی نسل سے جڑے ہوئے ہیں ۔ یہ نظریاتی تصور fosilوں ، ڈینائس اور دیگر بایولوجیاتی ثبوتوں پر مبنی ہے ۔ اس theory کو بہت سے سائنسدانوں کی طرف سے حمایت ہوتی ہے اور اسے اکثر لوگ قبول کرتے ہیں ۔
Query 61,'کیا آپ وضاحت کرسکتے ہیں کہ زندگی کے لئے فوٹو سنتھیس کس طرح ضروری ہے؟','Can you explain how photosynthesis is essential for life?',' ہم نے اس کے بارے میں کچھ تحقیق کی ہے اور اس کے بارے میں کچھ کچھ کچھ کچھ کچھ کچھ کچھ کچھ ک',"' I’m not sure if you’re aware of this, but there are a lot of people who are not aware of the fact
that there are a lot of people who are not aware of the fact that there are a lot of people who are
not aware of the fact that there are a lot of people who are not aware'",مجھے یقین نہیں ہے کہ آپ اس بات سے واقف ہیں ، لیکن بہت سے لوگ اس بات سے واقف نہیں ہیں کہ بہت سے لوگ اس بات سے واقف نہیں ہیں کہ بہت سے لوگ اس بات سے واقف نہیں ہیں کہ بہت سے لوگ اس بات سے واقف نہیں ہیں کہ بہت سے لوگ اس بات سے واقف نہیں ہیں
Query 62,'جاز میوزک کی تاریخ کیا ہے؟',"""What's the history of jazz music?""","' جاز میوزک کی تاریخ کیا ہے؟\nجاز میوزک کی تاریخ کیا ہے؟ جاز میوزک کی تاریخ کیا ہے؟\nجاز میوزک کی
تاریخ کیا ہے؟ جاز میوز'","' What is the history of Jazz Music?\nJazz music is a type of music that originated in the African-
American communities of New Orleans, Louisiana, United States. It developed from a confluence of
African and European music traditions, most notably the blues and ragtime, and was influenced by
African rhythms and brass bands. Jazz'",Jazz موسیقی کی تاریخ کیا ہے ؟ Jazz موسیقی ایک قسم کی موسیقی ہے ، جو Orleans ، Louisiana ، United States کی نسلوں میں سے African اور یوروپی موسیقی کی روایتوں ، خاص طور پر بلس اور راڈ ٹائم سے پیدا ہوئی تھی اور اس میں African ریک اور پینس بینڈ کا اثر تھا ۔
Query 63,'پودے اپنے ماحول کے مطابق کیسے ڈھالتے ہیں؟','How do plants adapt to their environment?',"' (How do plants adapt to their environment?)\nپودے اپنے ماحول کے مطابق کیسے ڈھالتے ہیں؟ (How do
plants adapt to their environment?)\nپودے اپنے ماحول ک'","' (How do plants adapt to their environment?)\nپودے اپنے ماحول کے مطابق کیسے ڈھالتے ہیں? (How do
plants adapt to their environment?)\nپودے اپنے ماحول ک'",پودے اپنے ماحول کے مطابق کیسے ڈھلتے ہیں ؟ پودے اپنے ماحول کو کیسے بدلتے ہیں ؟
Query 64,'قائل کرنے کے پیچھے نفسیات کیا ہے؟',"""What's the psychology behind persuasion?""","' نفسیات کے بارے میں معلومات حاصل کرنے کے لیے یہاں کلک کریں\nقائل کرنے کے پیچھے نفسیات کیا ہے؟
نفسیات ک'","' What is psychology behind saying yes?\nWhat is psychology behind saying yes?\nWhat is psychology
behind saying yes? What is psychology behind saying yes? What is psychology behind saying yes? What
is psychology behind saying yes? What is psychology behind saying yes? What is psychology behind
saying yes? What is psychology behind saying yes? What'",مثبت جواب دینے کے بعد کیا نفسیات ہے ؟ مثبت جواب دینے کے بعد کیا نفسیات ہے ؟ مثبت جواب دینے کے بعد کیا نفسیات ہے ؟ مثبت جواب دینے کے بعد کیا نفسیات ہے ؟ مثبت جواب دینے کے بعد کیا نفسیات ہے ؟ مثبت جواب دینے کے بعد کیا نفسیات ہے ؟
Query 65,'کیا آپ سپلائی اور طلب کے تصور کی وضاحت کرسکتے ہیں؟','Can you explain the concept of supply and demand?',"' کیا آپ اسے ایک ایسے تصور کے طور پر دیکھ سکتے ہیں جس میں طلب اور سپلائی کے درمیان ایک تعلق ہو؟ کیا
آپ اسے'","' What is the difference between supply and demand?\nWhat is the difference between supply and
demand?\nSupply and demand are two important economic concepts that determine the price of a good or
service in the market. Supply refers to the amount of a good or service that is available for sale
at a given price, while demand refers to the'",سپلائی اور مانگ میں کیا فرق ہے ؟ سپلائی اور مانگ میں کیا فرق ہے ؟ سپلائی اور مانگ دو اہم اقتصادی تصورات ہیں جو مارکیٹ میں کسی سامان یا خدمات کی قیمت کا تعین کرتے ہیں ۔
Query 66,'دماغ کی زبان کس طرح پروسیس کرتی ہے؟','How does the brain process language?',"' (How does the brain process language?)\nدماغ کی زبان کس طرح پروسیس کرتی ہے؟ (How does the brain
process language?)\nدماغ کی زبان کس طرح پروسیس کرتی ہے؟ (How does the brain process language?)\nدماغ
کی زبان'","' What is the process of brain language?\nThe brain is a complex organ that is responsible for a
wide range of functions, including language. The process of brain language is a complex and
intricate system that involves a number of different areas of the brain. The language areas of the
brain are located in the left hemisphere of the brain'",دماغی زبان کا عمل کیا ہے ؟ دماغ ایک پیچیدہ اعضاء ہے ، جو زبان سمیت مختلف قسم کے کاموں کے ذمہ دار ہیں ۔ دماغی زبان کا عمل ایک پیچیدہ نظام ہے ، جس میں دماغ کے مختلف اعضاء کا تبادلہ ہوتا ہے ۔ دماغی اعضاء کی زبانیں دماغ کے بائیں جانب واقع ہیں ۔
Query 67,'الزائمر کی بیماری کی اہم علامات کیا ہیں؟',"""What are the main symptoms of Alzheimer's disease?""","' (Zamir Ki Bimari Ki Ahem Alamat Kya Hain?)\nZamir Ki Bimari Ki Ahem Alamat Kya Hain?\nZamir Ki
Bimari Ki Ahem Alamat Kya Hain? Zamir Ki Bimari Ki Ahem Alamat K'","' What are the main symptoms of Zymaster disease?\nThe main symptoms of Zymaster disease are:\n1.
The patient has a history of recurrent infections.\n2. The patient has a history of recurrent skin
infections.\n3. The patient has a history of recurrent respiratory infections.\n4. The patient has a
history of'",Zymaster بیماری کی اہم علامات کیا ہیں ؟ Zymaster بیماری کی اہم علامات درج ذیل ہیں ۔
Query 68,'صنعتی انقلاب کی کیا اہمیت ہے؟',"""What's the significance of the Industrial Revolution?""","' (صنعتی انقلاب کی کیا اہمیت ہے؟)\nصنعتی انقلاب کی کیا اہمیت ہے؟ (صنعتی انقلاب کی کیا اہمیت
ہے؟)\nصنعتی انقلاب کی ک'","' What is the importance of Industrial Revolution?\nThe Industrial Revolution was a period of great
change in the way people worked and lived. It began in Britain in the late 1700s and spread to other
countries in Europe and North America. The Industrial Revolution was a time of great change in the
way people worked and lived.'",صنعتی انقلاب کی اہمیت کیا ہے ؟ صنعتی انقلاب لوگوں کے کام کرنے اور زندگی گزارنے کے طریقے میں بڑی تبدیلی کا دور تھا ۔ یہ کا آغاز برطانیہ میں سال 1700 میں ہوا اور اس کا پھیلاؤ یوروپ اور شمال مشرق میں دیگر ممالک میں ہوا ۔ صنعتی انقلاب لوگوں کے کام کرنے اور زندگی گزارنے کے طریقے میں بڑی تبدیلی کا دور تھا ۔
Query 69,'چھوٹے کاروبار کو شروع کرنے کے بنیادی اقدامات کیا ہیں؟','What are the basic steps to starting a small business?',"' (Small Business Startup Steps)\nچھوٹے کاروبار کو شروع کرنے کے بنیادی اقدامات کیا ہیں؟ (Small
Business Startup Steps)\nچھوٹے کاروبار کو شروع کرنے کے بنی'","' How to Start a Small Business?\nHow to Start a Small Business? Small business is a business that
is owned and operated by a single person or a small group of people. It is a type of business that
is not large enough to be considered a corporation or a partnership. Small businesses are often
started by individuals who have'",چھوٹے کاروبار کیسے شروع کریں ؟ چھوٹے کاروبار کیا ہے ؟ چھوٹے کاروبار ایک ایسا کاروبار ہے جسے ایک شخص یا ایک چھوٹے سے گروپ چلاتا ہے ۔ یہ ایسا کاروبار نہیں ہے جسے ایک کارپوریشن یا شراکت داری کے طور پر جانا جاتا ہے ۔ چھوٹے کاروبار بہت سے افراد کے ذریعے شروع کئے جاتے ہیں ، جس کا مقصد چھوٹے کاروبار کرنا ہے ۔
Query 70,'انتہائی آب و ہوا میں جانور کیسے زندہ رہتے ہیں؟','How do animals survive in extreme climates?',"' (How do animals survive in extreme weather?)\nHow do animals survive in extreme weather?\nAnimals
have a variety of ways to survive in extreme weather. Some animals, like polar bears, have thick fur
to keep them warm in cold weather. Others, like desert animals, have special adaptations to survive
in hot weather. Some'","' (How do animals survive in hot weather?)\nThe answer is that animals have special adaptations to
survive in hot weather. These adaptations include:\n1. They have a thick coat of fur or feathers to
protect them from the heat.\n2. They have a layer of fat under their skin to help them keep
cool.\n3.'",( گرم موسم میں جانور کیسے رہتے ہیں ؟ ) جواب یہ ہے کہ جانوروں کے لئے گرم موسم میں رہنے کے لئے خصوصی تغیرات ہیں ۔ ان تغیرات میں درج ذیل شامل ہیں ۔
Query 71,'ہالووین کی روایات کے پیچھے کیا تاریخ ہے؟',"""What's the history behind Halloween traditions?""","' ہالووین کی روایات کے پیچھے کیا تاریخ ہے؟\nہالووین کی روایات کے پیچھے کیا تاریخ ہے؟\nہالووین کی
روایات کے پیچ'","' ہالووین کی روایات کے پیچھے کیا تاریخ ہے?\nThe history of Halloween is a bit of a mystery. It is a
holiday that has been celebrated for centuries, but the exact origins of the holiday are unknown.
Some believe that it originated from'",ہالووین کی روایات کی پیچھے کیا تاریخ ہے ؟ Halloween کی تاریخ ایک بڑا ہی راز ہے ۔ یہ ایک ایسی تہوار ہے جسے صدیوں سے منایا جاتا رہا ہے لیکن اس تہوار کی اصل تاریخ معلوم نہیں ہے ۔ کچھ لوگ یہ کہتے ہیں کہ اس کا آغاز کس وقت ہوا ؟
Query 72,'ڈیسیلیشن کیسے کام کرتا ہے؟','How does desalination work?',"' (How does Desiccation work?)\nڈیسیلیشن کیسے کام کرتا ہے؟ (How does Desiccation work?)\nڈیسیلیشن
کیسے کام کرتا ہے؟ (How does Desiccation work?)\n'","' What is Desensitization?\nDesensitization is a type of exposure therapy that is used to treat
phobias and other anxiety disorders. It involves gradually exposing the person to the feared object
or situation in a safe and controlled manner, while providing them with support and guidance. The
goal of desensitization'",نکاسی کیا ہے ؟ نکاسی تھیراپی ایک ایسا طریقہ ہے جو خوف زدہ اشیاء یا صورتحال کو محفوظ اور کنٹرول شدہ طریقے پر ظاہر کرنے کے لئے استعمال کیا جاتا ہے اور دیگر خوف زدہ امراض کے علاج کے لئے استعمال کیا جاتا ہے ۔ نکاسی کے مقاصد :
Query 73,'کیا آپ متواتر جدول کی اہمیت کی وضاحت کرسکتے ہیں؟','Can you explain the importance of the periodic table?',' اور کیا آپ اسے اپنے ہاں رکھتے ہیں؟ اگر ہاں تو آپ کو یہ جاننے کے لئے کچھ اور معلومات کی ضرورت',"' What is the importance of the table of contents?\nThe table of contents is a list of the main
headings of a book or article. It is usually placed at the beginning of the book or article, and it
tells the reader what the book or article is about. The table of contents is an important part of
any book'",جدولِ مواد کی اہمیت کیا ہے ؟ جدولِ مواد کسی کتاب یا مضمون کی اہم مرکزیتوں کی فہرست ہے ۔ یہ معمولاً کتاب یا مضمون کے آغاز پر لگا دیا جاتا ہے اور پڑھنے والے کو یہ بتاتا ہے کہ وہ کتاب یا مضمون کیا ہے ۔ جدولِ مواد کسی کتاب کا ایک اہم حصہ ہے ۔
Query 74,'ذاتی فنانس کے لئے کچھ حکمت عملی کیا ہیں؟','What are some strategies for personal finance?',' ہم سب کو یہ جاننا چاہیے کہ کس طرح ہم اپنے ذاتی فنانس کو بہتر بناسکتے ہیں۔\nکچھ لوگ اپن�',"' What are some strategies for personal finance?\nThe most important thing to remember when it comes
to personal finance is that it is a long-term goal. You need to be patient and disciplined in order
to achieve your financial goals. There are many different strategies that you can use to achieve
your financial goals, but the most important thing'",ذاتی مالیہ کے لئے کچھ حکمت عملییں کیا ہیں ؟ ذاتی مالیہ کے لئے سب سے اہم چیز یہ ہے کہ یہ ایک طویل مدتی مقصد ہے ۔ آپ کو اپنے مالی اہداف کو حاصل کرنے کے لئے صبر کرنے اور نظم و ضبط رکھنے کی ضرورت ہے ۔
Query 75,'مصنوعی ذہانت کس طرح دھوکہ دہی کا پتہ لگاتی ہے؟','How does artificial intelligence detect fraud?',' - ہم نے اس کے بارے میں کیا کیا؟\nمصنوعی ذہانت کس طرح دھوکہ دہی کا پتہ لگاتی ہے؟ - ہم ن',"' (Part 2)\nIn the previous post, we discussed the importance of the intellect in the spiritual
life. We also discussed the importance of the intellect in the spiritual life. We also discussed the
importance of the intellect in the spiritual life. We also discussed the importance of the intellect
in the spiritual life. We also discussed'",( حصہ 2) گزشتہ پوسٹ میں ہم نے روحانی زندگی میں عقل کی اہمیت پر تبادلہ خیال کیا ۔ ہم نے عقل کی اہمیت پر بھی تبادلہ خیال کیا ۔ ہم نے عقل کی اہمیت پر بھی تبادلہ خیال کیا ۔
Query 76,'لوسیڈ خواب دیکھنے کی سائنس کیا ہے؟',"""What's the science of lucid dreaming?""","' لوسیڈ خواب دیکھنے کی سائنس کیا ہے؟\nلوسیڈ خواب دیکھنے کی سائنس کیا ہے؟ لوسیڈ خواب دیکھنے کی سائنس
کیا '","' What does lucid dreaming science mean?\nLucid dreaming is a state of consciousness in which a
person is aware that they are dreaming. It is a rare and fascinating phenomenon that has been
studied by scientists for decades. Lucid dreaming is a state of consciousness in which a person is
aware that they are dreaming. It is'",lucid خوابی سائنس کیا ہے ؟ lucid خوابی ایک حالت ہے جس سے کوئی شخص باخبر ہو جاتا ہے کہ وہ خواب دیکھ رہا ہے ۔ یہ ایک نادر اور متاثر کن حقیقت ہے جسے سائنس دانوں نے کئی دہائیوں سے مطالعہ کیا ہے ۔ Lucid خوابی ایک حالت ہے جس سے کوئی شخص باخبر ہو جاتا ہے کہ وہ خواب دیکھ رہا ہے ۔
Query 77,'ہیرے کیسے بنتے ہیں؟','How are diamonds formed?',' ہیرے کیسے بنتے ہیں؟ ہیرے کیسے بنتے ہیں؟ ہیرے کیسے بنتے ہیں؟ ',"' How are Hairs Grown?\nHairs are made of protein called keratin. Hairs are made of protein called
keratin. Hairs are made of protein called keratin. Hairs are made of protein called keratin. Hairs
are made of protein called keratin. Hairs are made of protein called'",جلدیں کیسے پیدا کی جاتی ہیں ؟ جلدوں کو پروٹین سے پیدا کیا جاتا ہے ۔ اسے پروٹین سے پیدا کیا جاتا ہے ۔ اسے پروٹین سے پیدا کیا جاتا ہے ۔ اسے پروٹین سے پیدا کیا جاتا ہے ۔ اسے پروٹین سے پیدا کیا جاتا ہے ۔
Query 78,'کمپیوٹر کے اہم اجزاء کیا ہیں؟','What are the main components of a computer?',"' (Computer Parts)\nComputer Parts\nComputer parts are the components of a computer system. The
computer parts are the hardware components of a computer system. The computer parts are the physical
components of a computer system. The computer parts are the physical components of a computer
system. The computer parts are the physical components of a computer system'","' What are the important parts of a computer?\nThe computer is a machine that can perform a variety
of tasks. It is a combination of hardware and software. The hardware is the physical part of the
computer, while the software is the set of instructions that tell the computer what to do. The
computer has several important parts that'",کمپیوٹر کے اہم حصے کیا ہیں ؟ کمپیوٹر ایک ایسی مشین ہے جو مختلف قسم کے کام کر سکتی ہے ، یہ ہارڈ اور سافٹ ویئر کا ایک مجموعہ ہے ، جبکہ سافٹ ویئر کمپیوٹر کے جسمی حصہ ہے اور سافٹ ویئر کمپیوٹر کو یہ بتاتا ہے کہ کیا کر رہا ہے ۔ کمپیوٹر کے کئی اہم حصے ہیں :
Query 79,'میوزک تھراپی سے ذہنی صحت کو کیسے فائدہ ہوتا ہے؟','How does music therapy benefit mental health?','\nمیوزک تھراپی سے ذہنی صحت کو کیسے فائدہ ہوتا ہے؟\nمیوزک تھراپی سے ذہنی صحت کو کیسے فائدہ',"' (Music Therapy and Mental Health)\nMusic therapy is a form of therapy that uses music to help
people with mental health issues. It can be used to treat a wide range of conditions, including
depression, anxiety, and post-traumatic stress disorder (PTSD). Music therapy can also be used to
help people with learning disabilities'",(Music Therapy اور ذہنی صحت ) موسیقی تھیراپی ایک ایسی تھیراپی ہے جس میں موسیقی استعمال کیا جاتا ہے اور جس کا مقصد ذہنی صحت کے مسائل سے نمٹنے کے لئے موسیقی استعمال کرنا ہوتا ہے ۔ اس سے مختلف قسم کے امراض کے علاج کے لئے استعمال کی جاسکتی ہے ، جن میں ڈائیپریشن ، اندھیرا اور پس ازtraumatic stress disorder ( پی ٹی ایس ڈی ) شامل ہیں ۔ موسیقی تھیراپی معذور افراد کے لئے بھی استعمال کی جاسکتی ہے ۔
Query 80,'بیکٹیریا اور وائرس میں کیا فرق ہے؟',"""What's the difference between bacteria and viruses?""","' - Difference between Bacteria and Virus\nبیکٹیریا اور وائرس میں کیا فرق ہے؟ - Difference between
Bacteria and Virus\nبیکٹیریا اور وائرس میں کیا فرق ہے؟ - Difference'","' What is the difference between bacteria and viruses?\nBacteria and viruses are both
microorganisms, but they are very different from each other. Bacteria are single-celled organisms
that can be found in almost every environment on Earth. They are responsible for many important
processes in nature, such as decomposition and nitrogen fixation. Viruses'",бактериوں اور وائرسوں کے درمیان کیا فرق ہے ؟ وائرس اور وائرس دونوں چھوٹے سےوسیلے ہیں ، لیکن وہ ایک دوسرے سے بہت الگ ہیں ۔ وائرس ایک سنگل سیڈہ ہے جو زمین میں تقریباً ہر ماحول میں پایا جا سکتا ہے ۔ وائرس فطرت کے کئی اہم کاموں مثلاً ٹھوس کاری اور نائٹروجن کی تشکیل کے ذمہ دار ہیں ۔
Query 81,'مصنوعی انتخاب قدرتی انتخاب سے کس طرح مختلف ہے؟','How does artificial selection differ from natural selection?',"' انتخاب قدرتی انتخاب سے کس طرح مختلف ہے؟ انتخاب قدرتی انتخاب سے کس طرح مختلف ہے؟ انتخاب قدرتی
انتخاب سے کس طرح مختلف ہے؟ انتخاب قدرتی انتخاب سے کس طرح مختلف �'","' What is the difference between natural and artificial selection?\nWhat is the difference between
natural and artificial selection?\nWhat is the difference between natural and artificial selection?
What is the difference between natural and artificial selection? What is the difference between
natural and artificial selection? What is the difference between natural and artificial selection?
What is the difference'",قدرتی اور مصنوعی انتخاب میں کیا فرق ہے ؟ قدرتی اور مصنوعی انتخاب میں کیا فرق ہے ؟ قدرتی اور مصنوعی انتخاب میں کیا فرق ہے ؟ قدرتی اور مصنوعی انتخاب میں کیا فرق ہے ؟ قدرتی اور مصنوعی انتخاب میں کیا فرق ہے ؟ قدرتی اور مصنوعی انتخاب میں کیا فرق ہے ؟
Query 82,'جینیاتی کلوننگ کی اخلاقیات کیا ہیں؟','What are the ethics of genetic cloning?',"' - جینیاتی کلوننگ کی اخلاقیات کیا ہیں؟\nجینیاتی کلوننگ کی اخلاقیات کیا ہیں؟\nجینیاتی کلوننگ کی
اخلاقیات کیا ہیں؟\nجینیاتی'","' (What are the ethical issues of genetic cloning?)\nGenetic cloning is a process in which a cell is
taken from an organism and is used to create a new organism. The new organism is genetically
identical to the original organism. Genetic cloning is a controversial topic because it raises many
ethical issues. In this article, we will'",( جینیٹک جلیٹنگ کے اخلاقی معاملات کیا ہیں ؟ جینیٹک جلیٹنگ ایک ایسا عمل ہے جس میں ایک خلا ایک خلا سے لیا جاتا ہے اور اس کو ایک نئے خلا بنانے کے لئے استعمال کیا جاتا ہے جس کا اصل خلا جینیٹک طور پر اصل خلا کے برابر ہے ۔ جینیٹک جلیٹنگ ایک بہت بڑا موضوع ہے کیونکہ اس میں بہت سے اخلاقی مسائل پیدا ہوتے ہیں ۔ اس مضمون میں ہم
Query 83,'پٹھوں کی میموری کیسے کام کرتی ہے؟','How does muscle memory work?',"' پٹھوں کی میموری کیسے کام کرتی ہے؟\nپٹھوں کی میموری کیسے کام کرتی ہے؟ پٹھوں کی میموری کیسے کام کرتی
'","' What is the function of memory in the brain?\nWhat is the function of memory in the brain?\nMemory
is the ability to store and retrieve information. It is the process of storing and retrieving
information from the brain. Memory is the ability to store and retrieve information from the brain.
It is the process of storing and retrieving'",دماغ کے اندر میڈل کی کیاکار ہوتی ہے ؟ دماغ کے اندر میڈل کی کیاکار ہوتی ہے ؟ میڈل اطلاعات کا ذخیرہ کرنے اور نکالنے کا عمل ہے ، یہ دماغ سے اطلاعات کا ذخیرہ کرنے اور نکالنے کا عمل ہے ۔ میڈل اطلاعات کا ذخیرہ کرنے اور نکالنے کا عمل ہے ۔
